Date,Open,High,Low,Close,Adj Close,Volume
2015-04-20,14.818347,15.190736,14.813806,15.172570,12.043758,23556996
2015-04-21,15.208901,15.267938,14.950045,15.081744,11.971660,20619528
2015-04-22,15.122616,15.281562,15.000000,15.217984,12.079807,19969498
2015-04-23,15.077203,15.304269,15.045413,15.158946,12.032943,18965386
2015-04-24,15.326975,15.326975,15.054496,15.104450,11.989687,16781662
2015-04-27,15.163488,15.163488,14.986376,15.018165,11.921197,18521683
2015-04-28,15.072661,15.095368,14.863760,15.095368,11.982478,19676852
2015-04-29,15.049955,15.240690,14.936421,15.131698,12.011316,19029464
2015-04-30,15.127157,15.195277,14.913715,14.972752,11.885144,23163939
2015-05-01,15.077203,15.408719,15.077203,15.349682,12.184343,25519198
2015-05-04,15.349682,15.390554,15.249773,15.281562,12.130273,11214566
2015-05-05,15.186194,15.290645,14.954587,15.059037,11.953638,19213551
2015-05-06,15.072661,15.158946,14.645777,14.759310,11.715721,18630241
2015-05-07,14.736603,14.986376,14.654859,14.904632,11.831076,17075849
2015-05-08,15.068120,15.213442,14.968211,15.172570,12.043758,16641175
2015-05-11,15.168029,15.358765,15.136240,15.304269,12.148299,21954821
2015-05-12,15.131698,15.154405,14.940963,14.950045,11.867121,19882078
2015-05-13,14.990917,15.204360,14.972752,15.122616,12.004108,13776373
2015-05-14,15.217984,15.317893,15.168029,15.304269,12.148299,13458404
2015-05-15,15.258856,15.317893,15.118074,15.258856,12.112251,21415771
2015-05-18,15.208901,15.222525,14.990917,15.099909,11.986082,19302292
2015-05-19,15.095368,15.208901,15.081744,15.168029,12.040154,16899689
2015-05-20,15.172570,15.190736,14.886467,15.018165,11.921197,26427303
2015-05-21,15.031789,15.413261,14.995459,15.363306,12.195162,29584090
2015-05-22,15.563124,16.167122,15.558583,15.785649,12.530412,62989091
2015-05-26,15.653951,15.722071,15.104450,15.158946,12.032943,37517015
2015-05-27,15.272480,15.358765,15.086285,15.340599,12.177139,30496379
2015-05-28,15.308810,15.399637,15.199818,15.281562,12.130273,15106160
2015-05-29,15.267938,15.304269,15.104450,15.168029,12.040154,27299075
2015-06-01,15.172570,15.435967,15.127157,15.331517,12.169931,20373344
2015-06-02,15.286104,15.567666,15.136240,15.386013,12.213187,21692563
2015-06-03,15.445050,15.558583,15.372389,15.422343,12.242024,23260827
2015-06-04,15.231608,15.363306,15.068120,15.122616,12.004108,28373871
2015-06-05,15.136240,15.186194,14.904632,14.950045,11.867121,26715765
2015-06-08,14.881926,14.954587,14.713896,14.845595,11.847552,20899622
2015-06-09,14.831971,14.918256,14.663942,14.795640,11.807686,18063667
2015-06-10,14.831971,15.054496,14.831971,14.945504,11.927283,14656952
2015-06-11,14.959128,15.031789,14.745686,14.768392,11.785939,19590533
2015-06-12,14.750227,14.841054,14.623070,14.718438,11.746073,11506331
2015-06-15,14.654859,14.654859,14.373297,14.400545,11.492379,26872988
2015-06-16,14.405086,14.423252,14.296094,14.373297,11.470633,28651543
2015-06-17,14.396004,14.673025,14.396004,14.627611,11.673593,24212531
2015-06-18,14.645777,14.786558,14.541326,14.568574,11.626472,33620136
2015-06-19,14.514078,14.577657,14.441417,14.441417,11.524999,32953370
2015-06-22,14.514078,14.532243,14.391462,14.396004,11.488755,25077477
2015-06-23,14.482289,14.486830,14.323342,14.364214,11.463384,26198295
2015-06-24,14.327884,14.427793,14.314260,14.323342,11.430767,22555967
2015-06-25,14.400545,14.400545,14.109900,14.173479,11.311168,21054863
2015-06-26,13.887375,14.032698,13.746594,13.864668,11.064719,44778991
2015-06-29,13.773842,13.810173,13.578565,13.610354,10.861764,36351056
2015-06-30,13.655767,13.719346,13.405995,13.628520,10.876260,42613985
2015-07-01,13.773842,13.873751,13.601272,13.860127,11.061099,40408682
