Date,Open,High,Low,Close,Adj Close,Volume
2005-08-11,2.321667,2.358333,2.299167,2.354167,2.161095,70155600
2005-08-12,2.492500,2.517500,2.407500,2.495833,2.291142,229542000
2005-08-15,2.504167,2.585000,2.472500,2.559167,2.349282,88280400
2005-08-16,2.535000,2.557500,2.497500,2.515833,2.309503,63748800
2005-08-17,2.505000,2.546667,2.503333,2.515833,2.309503,60757200
2005-08-18,2.496667,2.509167,2.440000,2.450833,2.249833,82273200
2005-08-19,2.455000,2.462500,2.425833,2.433333,2.233768,42223200
2005-08-22,2.429167,2.468333,2.385000,2.413333,2.215409,54722400
2005-08-23,2.410833,2.441667,2.402500,2.429167,2.229944,25446000
2005-08-24,2.413333,2.482500,2.401667,2.430833,2.231473,51462000
2005-08-25,2.441667,2.460833,2.420833,2.447500,2.246773,29648400
2005-08-26,2.450000,2.450000,2.386667,2.410000,2.212349,32343600
2005-08-29,2.387500,2.416667,2.368333,2.414167,2.216175,34339200
2005-08-30,2.410000,2.506667,2.406667,2.500833,2.295732,94885200
2005-08-31,2.495000,2.588333,2.487500,2.556667,2.346988,90680400
2005-09-01,2.549167,2.580833,2.535833,2.557500,2.347752,55688400
2005-09-02,2.562500,2.562500,2.507500,2.515833,2.309503,46980000
2005-09-06,2.525000,2.550000,2.486667,2.536667,2.328628,42309600
2005-09-07,2.533333,2.624167,2.526667,2.617500,2.402832,58801200
2005-09-08,2.601667,2.680833,2.601667,2.648333,2.431135,64611600
2005-09-09,2.676667,2.688333,2.633333,2.682500,2.462500,45423600
2005-09-12,2.685000,2.693333,2.641667,2.673333,2.454085,55658400
2005-09-13,2.660833,2.767500,2.660833,2.754167,2.528290,85472400
2005-09-14,2.733333,2.770000,2.708333,2.720833,2.497689,50344800
2005-09-15,2.762500,2.800000,2.745833,2.769167,2.542059,75975600
2005-09-16,2.792500,2.807500,2.748333,2.770833,2.543589,51982800
2005-09-19,2.767500,2.776667,2.716667,2.731667,2.507635,42831600
2005-09-20,2.752500,2.815833,2.749167,2.785000,2.556595,52219200
2005-09-21,2.774167,2.829167,2.736667,2.760833,2.534409,62565600
2005-09-22,2.767500,2.767500,2.637500,2.686667,2.466325,73915200
2005-09-23,2.680833,2.749167,2.658333,2.725833,2.502279,31464000
2005-09-26,2.746667,2.767500,2.697500,2.748333,2.522934,40677600
2005-09-27,2.760000,2.784167,2.736667,2.757500,2.531349,40416000
2005-09-28,2.765833,2.781667,2.734167,2.774167,2.546649,35355600
2005-09-29,2.775000,2.833333,2.752500,2.831667,2.599434,51337200
2005-09-30,2.833333,2.882500,2.827500,2.856667,2.622384,45883200
2005-10-03,2.890000,2.955833,2.866667,2.935000,2.694292,54988800
2005-10-04,2.947500,2.995833,2.890000,2.896667,2.659103,51447600
2005-10-05,2.900000,2.900000,2.783333,2.800833,2.571128,59918400
2005-10-06,2.797500,2.840833,2.706667,2.790833,2.561949,68551200
2005-10-07,2.795833,2.824167,2.733333,2.755000,2.529055,55195200
2005-10-10,2.769167,2.774167,2.684167,2.685000,2.464796,45921600
2005-10-11,2.695000,2.718333,2.620833,2.651667,2.434195,54004800
2005-10-12,2.644167,2.724167,2.640833,2.683333,2.463265,65766000
2005-10-13,2.677500,2.681667,2.566667,2.669167,2.450262,50930400
2005-10-14,2.688333,2.721667,2.625000,2.669167,2.450262,31125600
2005-10-17,2.670833,2.721667,2.670833,2.695000,2.473975,24391200
2005-10-18,2.705000,2.710000,2.633333,2.650833,2.433431,29983200
2005-10-19,2.616667,2.632500,2.542500,2.628333,2.412776,63595200
2005-10-20,2.632500,2.701667,2.620833,2.646667,2.429606,35952000
2005-10-21,2.691667,2.700000,2.643333,2.661667,2.443376,29836800
2005-10-24,2.685000,2.734167,2.660833,2.734167,2.509929,29101200
2005-10-25,2.715833,2.760000,2.704167,2.751667,2.525994,33468000
2005-10-26,2.752500,2.758333,2.672500,2.676667,2.457145,41534400
2005-10-27,2.681667,2.690000,2.612500,2.620833,2.405890,22778400
2005-10-28,2.627500,2.706667,2.562500,2.701667,2.480096,46464000
2005-10-31,2.712500,2.815000,2.712500,2.795833,2.566538,43242000
2005-11-01,2.795833,2.816667,2.740000,2.761667,2.535175,40048800
2005-11-02,2.762500,2.925000,2.750000,2.921667,2.682052,52366800
2005-11-03,2.941667,2.958333,2.864167,2.887500,2.650687,46507200
2005-11-04,2.889167,2.895833,2.808333,2.838333,2.605552,57027600
2005-11-07,2.853333,2.863333,2.814167,2.825833,2.594078,37082400
2005-11-08,2.836667,2.839167,2.760833,2.773333,2.545884,53896800
2005-11-09,2.779167,2.916667,2.747500,2.898333,2.660632,81888000
2005-11-10,2.999167,3.064167,2.736667,2.790833,2.561949,250362000
2005-11-11,2.815000,2.870000,2.802500,2.836667,2.604024,54592800
2005-11-14,2.837500,2.916667,2.794167,2.896667,2.659103,49366800
2005-11-15,2.914167,2.941667,2.894167,2.903333,2.665222,49620000
2005-11-16,2.906667,2.922500,2.836667,2.893333,2.656042,45528000
2005-11-17,2.917500,3.024167,2.883333,3.021667,2.773852,70326000
2005-11-18,3.031667,3.056667,2.956667,3.015833,2.768496,46576800
2005-11-21,3.019167,3.074167,2.999167,3.069167,2.817455,45470400
2005-11-22,3.085000,3.180833,3.060833,3.150833,2.892424,73170000
2005-11-23,3.154167,3.187500,3.125000,3.141667,2.884010,41194800
2005-11-25,3.156667,3.177500,3.135000,3.172500,2.912315,11667600
2005-11-28,3.180833,3.208333,3.100000,3.156667,2.897779,42452400
2005-11-29,2.970000,3.054167,2.943333,2.956667,2.714182,104313600
2005-11-30,2.935833,3.027500,2.935000,3.012500,2.765436,57544800
2005-12-01,3.037500,3.062500,3.005000,3.048333,2.798331,56203200
2005-12-02,3.062500,3.070000,3.008333,3.049167,2.799095,33447600
2005-12-05,3.055833,3.055833,2.982500,2.992500,2.747076,38770800
2005-12-06,2.997500,3.045833,2.993333,3.005000,2.758551,37525200
2005-12-07,3.016667,3.035000,2.958333,3.010000,2.763141,35266800
2005-12-08,2.994167,3.033333,2.951667,2.985833,2.740956,38666400
2005-12-09,2.995000,3.032500,2.953333,3.028333,2.779971,26289600
2005-12-12,3.036667,3.079167,3.031667,3.072500,2.820515,28113600
2005-12-13,3.078333,3.139167,3.055833,3.112500,2.857235,44341200
2005-12-14,3.089167,3.104167,3.046667,3.083333,2.830460,28747200
2005-12-15,3.080833,3.104167,3.012500,3.044167,2.794506,33272400
2005-12-16,3.055000,3.084167,3.025833,3.070833,2.818985,106560000
2005-12-19,3.077500,3.100000,3.012500,3.020000,2.772321,29229600
2005-12-20,3.016667,3.062500,2.978333,3.018333,2.770791,30435600
2005-12-21,3.032500,3.057500,2.985000,3.012500,2.765436,28938000
2005-12-22,3.010000,3.107500,3.009167,3.104167,2.849585,31833600
2005-12-23,3.112500,3.132500,3.091667,3.128333,2.871769,21453600
2005-12-27,3.125000,3.181667,3.115000,3.147500,2.889364,36796800
2005-12-28,3.147500,3.186667,3.127500,3.176667,2.916139,26442000
2005-12-29,3.175000,3.185000,3.092500,3.105833,2.851115,31046400
2005-12-30,3.088333,3.089167,3.034167,3.046667,2.796801,22960800
2006-01-03,3.064167,3.208333,3.054167,3.185000,2.923789,47281200
2006-01-04,3.209167,3.279167,3.175833,3.274167,3.005643,51007200
2006-01-05,3.275000,3.354167,3.269167,3.348333,3.073725,64609200
2006-01-06,3.386667,3.415833,3.254167,3.403333,3.124215,62338800
2006-01-09,3.401667,3.516667,3.394167,3.498333,3.211425,56048400
2006-01-10,3.481667,3.499167,3.437500,3.499167,3.212190,33966000
2006-01-11,3.502500,3.645833,3.496667,3.625833,3.328468,62630400
2006-01-12,3.625000,3.680833,3.548333,3.574167,3.281040,49550400
2006-01-13,3.565833,3.595000,3.492500,3.542500,3.251969,42129600
2006-01-17,3.494167,3.541667,3.447500,3.540000,3.249674,32923200
2006-01-18,3.432500,3.570000,3.400000,3.558333,3.266503,45994800
2006-01-19,3.605833,3.805000,3.599167,3.755833,3.447806,91476000
2006-01-20,3.761667,3.805000,3.650000,3.650833,3.351417,46160400
2006-01-23,3.679167,3.702500,3.629167,3.671667,3.370543,33488400
2006-01-24,3.680000,3.766667,3.670000,3.690000,3.387373,38889600
2006-01-25,3.708333,3.732500,3.613333,3.657500,3.357537,40023600
2006-01-26,3.710833,3.785833,3.687500,3.782500,3.472286,44883600
2006-01-27,3.831667,3.896667,3.800000,3.854167,3.538075,38504400
